player_name,info,overall_rating,potential_rating,age,wages,primary_foot,work_rate,strong_foot,weak_foot,release_clause,ref_url,hieght,weight,club,country
 Kalidou Koulibaly , CB |    2014 - 2023 |  R.Face  , 88 , 88 , 29 ,  €76.5M €140K , R , M / H , 2   , 3   , €0 ,/player/201024/kalidou-koulibaly," 187cm | 6'1"" ", Unique (89kg | 196lbs) ,Napoli,Senegal
 Sadio Mané , LW |    2016 - 2023 |  R.Face  , 88 , 88 , 28 ,  €92M €230K , R , H / M , 4   , 4   , €0 ,/player/208722/sadio-mane," 175cm | 5'8"" ", Unique (69kg | 152lbs) ,Liverpool,Senegal
 Ederson , GK |    2017 - 2024 |  R.Face  , 88 , 91 , 26 ,  €92M €195K , L , M / M , 1   , 3   , €0 ,/player/210257/ederson," 188cm | 6'2"" ", Unique (86kg | 190lbs) ,Manchester City,Brazil
 Bruno Fernandes , CAM |    2020 - 2025 |  R.Face  , 88 , 91 , 25 ,  €121M €240K , R , H / H , 4   , 3   , €269.6M ,/player/212198/bruno-fernandes," 179cm | 5'10"" ", Lean (69kg | 152lbs) ,Manchester United,Portugal
 N'Golo Kanté ," CDM, CM |    2016 - 2023 |  R.Face  ", 88 , 88 , 29 ,  €78M €190K , R , M / H , 2   , 3   , €0 ,/player/215914/n-golo-kante," 168cm | 5'6"" ", Unique (70kg | 154lbs) ,Chelsea,France
 Sergio Agüero , ST |    2011 - 2021 |  R.Face  , 87 , 87 , 32 ,  €64.5M €240K , R , H / M , 4   , 4   , €0 ,/player/153079/sergio-aguero," 173cm | 5'8"" ", Unique (70kg | 154lbs) ,Manchester City,Argentina
 Samir Handanovic , GK |    2012 - 2022 |  R.Face  , 87 , 87 , 35 ,  €9M €84K , R , M / M , 1   , 3   , €0 ,/player/162835/samir-handanovic," 193cm | 6'3"" ", Unique (92kg | 203lbs) ,Inter,Slovenia
 Hugo Lloris , GK |    2012 - 2022 |  R.Face  , 87 , 87 , 33 ,  €26M €125K , L , M / M , 1   , 1   , €0 ,/player/167948/hugo-lloris," 188cm | 6'2"" ", Unique (82kg | 181lbs) ,Tottenham Hotspur,France
 Luis Suárez , ST |    2020 - 2022 |  R.Face  , 87 , 87 , 33 ,  €51M €115K , R , H / M , 3   , 4   , €0 ,/player/176580/luis-suarez," 182cm | 5'11"" ", Unique (83kg | 183lbs) ,Atlético de Madrid,Uruguay
 Luka Modric , CM |    2012 - 2022 |  R.Face  , 87 , 87 , 34 ,  €36.5M €260K , R , M / M , 4   , 4   , €0 ,/player/177003/luka-modric," 172cm | 5'7"" ", Lean (66kg | 146lbs) ,Real Madrid,Croatia
 Mats Hummels , CB |    2019 - 2022 |  R.Face  , 87 , 87 , 31 ,  €54.5M €100K , R , H / H , 3   , 3   , €104.5M ,/player/178603/mats-hummels," 191cm | 6'3"" ", High & Average (96kg | 212lbs) ,Borussia Dortmund,Germany
 Ángel Di María ," RW, LW |    2015 - 2022 |  R.Face  ", 87 , 87 , 32 ,  €63M €160K , L , H / M , 5   , 2   , €0 ,/player/183898/angel-di-maria," 180cm | 5'10"" ", Unique (69kg | 152lbs) ,Paris Saint-Germain,Argentina
 Wojciech Szczesny , GK |    2017 - 2024 |  R.Face  , 87 , 87 , 30 ,  €53M €105K , R , M / M , 1   , 3   , €0 ,/player/186153/wojciech-szczesny," 195cm | 6'4"" ", High & Average+ (90kg | 198lbs) ,Piemonte Calcio,Poland
 Thomas Müller ," CAM, RM, RW |    2008 - 2023 |  R.Face  ", 87 , 87 , 30 ,  €77M €140K , R , H / H , 3   , 4   , €0 ,/player/189596/thomas-muller," 185cm | 6'0"" ", High & Average+ (76kg | 168lbs) ,Bayern München,Germany
 Ciro Immobile , ST |    2016 - 2025 |  R.Face  , 87 , 87 , 30 ,  €78M €125K , R , H / M , 3   , 4   , €0 ,/player/192387/ciro-immobile," 185cm | 6'0"" ", Unique (85kg | 187lbs) ,Lazio,Italy
 Raheem Sterling ," LW, RW |    2015 - 2023 |  R.Face  ", 87 , 88 , 25 ,  €95M €230K , R , H / M , 4   , 3   , €0 ,/player/202652/raheem-sterling," 170cm | 5'6"" ", Unique (69kg | 152lbs) ,Manchester City,England
 Marquinhos ," CB, CDM |    2013 - 2024 |  R.Face  ", 87 , 90 , 26 ,  €92.5M €135K , R , M / H , 3   , 3   , €0 ,/player/207865/marquinhos," 183cm | 6'0"" ", Average (75kg | 165lbs) ,Paris Saint-Germain,Brazil
 Jamie Vardy , ST |    2012 - 2023 |  R.Face  , 87 , 87 , 33 ,  €51M €170K , R , H / M , 3   , 4   , €0 ,/player/208830/jamie-vardy," 179cm | 5'10"" ", Unique (74kg | 163lbs) ,Leicester City,England
 Fabinho ," CDM, CB |    2018 - 2026 |  R.Face  ", 87 , 89 , 26 ,  €88.5M €155K , R , M / H , 3   , 2   , €192.5M ,/player/209499/fabinho," 188cm | 6'2"" ", Unique (78kg | 172lbs) ,Liverpool,Brazil
 Leon Goretzka ," CM, CDM |    2018 - 2022 |  R.Face  ", 87 , 88 , 25 ,  €94.5M €130K , R , H / M , 3   , 4   , €190.6M ,/player/209658/leon-goretzka," 189cm | 6'2"" ", Unique (82kg | 181lbs) ,Bayern München,Germany
 Paulo Dybala ," CF, CAM |    2015 - 2022 |  R.Face  ", 87 , 88 , 26 ,  €95M €155K , L , M / M , 4   , 3   , €0 ,/player/211110/paulo-dybala," 177cm | 5'9"" ", Unique (75kg | 165lbs) ,Piemonte Calcio,Argentina
 Andrew Robertson , LB |    2017 - 2026 |  R.Face  , 87 , 88 , 26 ,  €85.5M €155K , L , H / H , 3   , 2   , €0 ,/player/216267/andrew-robertson," 178cm | 5'10"" ", Unique (64kg | 141lbs) ,Liverpool,Scotland
 Jadon Sancho ," RM, CF, LM |    2017 - 2023 |  R.Face  ", 87 , 92 , 20 ,  €118.5M €82K , R , H / M , 5   , 3   , €0 ,/player/233049/jadon-sancho," 180cm | 5'10"" ", Average (76kg | 168lbs) ,Borussia Dortmund,England
 Erling Haaland , ST |    2020 - 2024 |  R.Face  , 87 , 93 , 19 ,  €122.5M €72K , L , H / H , 3   , 3   , €0 ,/player/239085/erling-haaland," 194cm | 6'4"" ", Unique (88kg | 194lbs) ,Borussia Dortmund,Norway
 Giorgio Chiellini , CB |    2005 - 2023 |  R.Face  , 86 , 86 , 35 ,  €18M €87K , L , M / H , 2   , 3   , €0 ,/player/138956/giorgio-chiellini," 187cm | 6'1"" ", High & Average (85kg | 187lbs) ,Piemonte Calcio,Italy
 Alejandro Gómez ," CAM, CF, ST |    2021 - 2024 |  R.Face  ", 86 , 86 , 32 ,  €54M €55K , R , H / M , 4   , 4   , €0 ,/player/143076/alejandro-gomez," 167cm | 5'5"" ", Short & Lean- (68kg | 150lbs) ,Sevilla FC,Argentina
 Piqué , CB |    2008 - 2024 |  R.Face  , 86 , 86 , 33 ,  €32.5M €220K , R , H / M , 2   , 3   , €0 ,/player/152729/pique," 194cm | 6'4"" ", Unique (85kg | 187lbs) ,FC Barcelona,Spain
 David Silva ," CAM, CM |    2020 - 2022 |  R.Face  ", 86 , 86 , 34 ,  €32M €58K , L , H / M , 4   , 2   , €0 ,/player/168542/david-silva," 173cm | 5'8"" ", Average (67kg | 148lbs) ,Real Sociedad,Spain
 Eden Hazard , LW |    2019 - 2024 |  R.Face  , 86 , 86 , 29 ,  €66.5M €270K , R , M / M , 4   , 4   , €158.9M ,/player/183277/eden-hazard," 175cm | 5'8"" ", Unique (74kg | 163lbs) ,Real Madrid,Belgium
 Jordan Henderson ," CDM, CM |    2011 - 2023 |  R.Face  ", 86 , 86 , 30 ,  €57M €140K , R , H / H , 3   , 3   , €0 ,/player/183711/jordan-henderson," 182cm | 5'11"" ", Average (80kg | 176lbs) ,Liverpool,England
 Jordi Alba ," LB, LM |    2012 - 2024 |  R.Face  ", 86 , 86 , 31 ,  €49.5M €220K , L , H / M , 3   , 3   , €135.3M ,/player/189332/jordi-alba," 170cm | 5'6"" ", Unique (68kg | 150lbs) ,FC Barcelona,Spain
 Sergio Busquets ," CDM, CM |    2008 - 2023 |  R.Face  ", 86 , 86 , 31 ,  €47.5M €220K , R , M / M , 3   , 3   , €0 ,/player/189511/sergio-busquets," 189cm | 6'2"" ", High & Average+ (76kg | 168lbs) ,FC Barcelona,Spain
 Romelu Lukaku , ST |    2019 - 2024 |  R.Face  , 86 , 86 , 27 ,  €73.5M €175K , L , M / M , 3   , 4   , €0 ,/player/192505/romelu-lukaku," 191cm | 6'3"" ", Unique (94kg | 207lbs) ,Inter,Belgium
 De Gea , GK |    2011 - 2023 |  R.Face  , 86 , 86 , 29 ,  €46.5M €150K , R , M / M , 1   , 3   , €0 ,/player/193080/de-gea," 192cm | 6'3"" ", Unique (82kg | 181lbs) ,Manchester United,Spain
 Antoine Griezmann ," ST, LW, RW |    2019 - 2024 |  R.Face  ", 86 , 86 , 29 ,  €68M €270K , L , M / M , 4   , 3   , €0 ,/player/194765/antoine-griezmann," 176cm | 5'9"" ", Unique (73kg | 161lbs) ,FC Barcelona,France
 Paul Pogba ," CM, LM |    2016 - 2022 |  R.Face  ", 86 , 86 , 27 ,  €72M €190K , R , H / M , 5   , 4   , €0 ,/player/195864/paul-pogba," 191cm | 6'3"" ", Unique (84kg | 185lbs) ,Manchester United,France
 Marco Verratti ," CM, CDM |    2012 - 2024 |  R.Face  ", 86 , 86 , 27 ,  €72M €135K , R , M / H , 4   , 4   , €0 ,/player/199556/marco-verratti," 165cm | 5'4"" ", Unique (60kg | 132lbs) ,Paris Saint-Germain,Italy
 Carvajal , RB |    2013 - 2025 |  R.Face  , 86 , 86 , 28 ,  €61.5M €230K , R , H / M , 3   , 3   , €0 ,/player/204963/carvajal," 173cm | 5'8"" ", Unique (73kg | 161lbs) ,Real Madrid,Spain
 Serge Gnabry ," RM, LM, RW |    2017 - 2023 |  R.Face  ", 86 , 88 , 24 ,  €88M €110K , R , H / M , 4   , 4   , €0 ,/player/206113/serge-gnabry," 176cm | 5'9"" ", Unique (77kg | 170lbs) ,Bayern München,Germany
 Aymeric Laporte , CB |    2018 - 2024 |  R.Face  , 86 , 89 , 26 ,  €79M €185K , L , M / M , 2   , 3   , €0 ,/player/212218/aymeric-laporte," 191cm | 6'3"" ", Unique (85kg | 187lbs) ,Manchester City,Spain
 Kingsley Coman ," LM, RM, LW |    2015 - 2023 |  R.Face  ", 86 , 89 , 24 ,  €93M €110K , R , M / M , 4   , 3   , €0 ,/player/213345/kingsley-coman," 180cm | 5'10"" ", Unique (76kg | 168lbs) ,Bayern München,France
 Bernardo Silva ," CAM, CM, RW |    2017 - 2025 |  R.Face  ", 86 , 87 , 25 ,  €81M €195K , L , H / H , 4   , 3   , €0 ,/player/218667/bernardo-silva," 173cm | 5'8"" ", Lean (64kg | 141lbs) ,Manchester City,Portugal
 Frenkie de Jong ," CM, CDM, CB |    2019 - 2026 |  R.Face  ", 86 , 91 , 23 ,  €102M €210K , R , H / M , 4   , 3   , €249.7M ,/player/228702/frenkie-de-jong," 180cm | 5'10"" ", Unique (74kg | 163lbs) ,FC Barcelona,Holland
 Gianluigi Donnarumma , GK |    2015 - 2021 |  R.Face  , 86 , 92 , 21 ,  €88.5M €36.5K , R , M / M , 1   , 3   , €0 ,/player/230621/gianluigi-donnarumma," 196cm | 6'5"" ", Unique (90kg | 198lbs) ,Milan,Italy
 Trent Alexander-Arnold , RB |    2015 - 2025 |  R.Face  , 86 , 91 , 21 ,  €97.5M €100K , R , H / M , 3   , 4   , €0 ,/player/231281/trent-alexander-arnold," 180cm | 5'10"" ", Unique (69kg | 152lbs) ,Liverpool,England
 Rodrigo , CDM |    2019 - 2024 |  R.Face  , 86 , 89 , 24 ,  €84M €160K , R , M / H , 3   , 4   , €0 ,/player/231866/rodrigo," 191cm | 6'3"" ", High & Average (82kg | 181lbs) ,Manchester City,Spain
 Milan Škriniar , CB |    2017 - 2023 |  R.Face  , 86 , 88 , 25 ,  €75.5M €140K , R , M / H , 2   , 4   , €0 ,/player/232363/milan-skriniar," 188cm | 6'2"" ", Unique (80kg | 176lbs) ,Inter,Slovakia
 Kasper Schmeichel , GK |    2011 - 2023 |  R.Face  , 85 , 85 , 33 ,  €17.5M €99K , R , M / M , 1   , 3   , €0 ,/player/163587/kasper-schmeichel," 189cm | 6'2"" ", High & Stocky (89kg | 196lbs) ,Leicester City,Denmark
 Thiago Silva , CB |    2020 - 2022 |  R.Face  , 85 , 85 , 35 ,  €14.5M €93K , R , M / H , 2   , 3   , €0 ,/player/164240/thiago-silva," 183cm | 6'0"" ", Average (79kg | 174lbs) ,Chelsea,Brazil
 Dries Mertens ," CF, ST, CAM |    2013 - 2022 |  R.Face  ", 85 , 85 , 33 ,  €34.5M €115K , R , H / L , 4   , 4   , €0 ,/player/175943/dries-mertens," 169cm | 5'6"" ", Unique (61kg | 134lbs) ,Napoli,Belgium
 Péter Gulácsi , GK |    2015 - 2025 |  R.Face  , 85 , 85 , 30 ,  €36M €65K , R , M / M , 1   , 2   , €0 ,/player/185122/peter-gulacsi," 191cm | 6'3"" ", High & Average (86kg | 190lbs) ,RB Leipzig,Hungary
 Aubameyang ," ST, LW |    2018 - 2023 |  R.Face  ", 85 , 85 , 31 ,  €45.5M €145K , R , M / L , 4   , 4   , €0 ,/player/188567/aubameyang," 187cm | 6'1"" ", Unique (80kg | 176lbs) ,Arsenal,Gabon
 Thiago ," CM, CDM |    2020 - 2024 |  R.Face  ", 85 , 85 , 29 ,  €52.5M €150K , R , M / M , 5   , 3   , €0 ,/player/189509/thiago," 174cm | 5'8"" ", Average (70kg | 154lbs) ,Liverpool,Spain
 Parejo , CM |    2020 - 2024 |  R.Face  , 85 , 85 , 31 ,  €44M €59K , R , M / M , 3   , 4   , €0 ,/player/189513/parejo," 182cm | 5'11"" ", Lean (74kg | 163lbs) ,Villarreal CF,Spain
 Koen Casteels , GK |    2015 - 2024 |  R.Face  , 85 , 86 , 28 ,  €43M €63K , L , M / M , 1   , 2   , €92.3M ,/player/192984/koen-casteels," 197cm | 6'5"" ", High & Average (86kg | 190lbs) ,VfL Wolfsburg,Belgium
 Koke ," CM, CDM |    2011 - 2024 |  R.Face  ", 85 , 85 , 28 ,  €54M €92K , R , M / M , 3   , 4   , €0 ,/player/193747/koke," 176cm | 5'9"" ", Average (75kg | 165lbs) ,Atlético de Madrid,Spain
 Stefan de Vrij , CB |    2018 - 2023 |  R.Face  , 85 , 85 , 28 ,  €46.5M €145K , R , M / H , 2   , 4   , €0 ,/player/198176/stefan-de-vrij," 189cm | 6'2"" ", Unique (78kg | 172lbs) ,Inter,Holland
 Lorenzo Insigne ," LW, CF |    2010 - 2022 |  R.Face  ", 85 , 85 , 29 ,  €53M €120K , R , H / M , 4   , 4   , €0 ,/player/198219/lorenzo-insigne," 163cm | 5'4"" ", Unique (59kg | 130lbs) ,Napoli,Italy
 Luis Alberto ," CAM, CM, CF |    2016 - 2025 |  R.Face  ", 85 , 85 , 27 ,  €57.5M €99K , R , M / M , 4   , 3   , €0 ,/player/198706/luis-alberto," 183cm | 6'0"" ", Lean (74kg | 163lbs) ,Lazio,Spain
 Raphaël Varane , CB |    2011 - 2022 |  R.Face  , 85 , 87 , 27 ,  €57.5M €200K , R , M / H , 2   , 3   , €141.3M ,/player/201535/raphael-varane," 191cm | 6'3"" ", Unique (81kg | 179lbs) ,Real Madrid,France
 Roberto Firmino , CF |    2015 - 2023 |  R.Face  , 85 , 85 , 28 ,  €55M €160K , R , H / H , 5   , 4   , €0 ,/player/201942/roberto-firmino," 181cm | 5'11"" ", Unique (76kg | 168lbs) ,Liverpool,Brazil
 Riyad Mahrez ," RW, RM |    2018 - 2023 |  R.Face  ", 85 , 85 , 29 ,  €53M €210K , L , M / M , 5   , 4   , €0 ,/player/204485/riyad-mahrez," 179cm | 5'10"" ", Unique (67kg | 148lbs) ,Manchester City,Algeria
 Ricardo Pereira ," RB, RM |    2018 - 2023 |  R.Face  ", 85 , 85 , 26 ,  €53.5M €120K , R , H / H , 3   , 4   , €0 ,/player/210243/ricardo-pereira," 175cm | 5'8"" ", Unique (70kg | 154lbs) ,Leicester City,Portugal
 João Cancelo ," RB, LB |    2019 - 2025 |  R.Face  ", 85 , 87 , 26 ,  €61M €170K , R , H / M , 4   , 4   , €0 ,/player/210514/joao-cancelo," 182cm | 5'11"" ", Unique (74kg | 163lbs) ,Manchester City,Portugal
 Leroy Sané ," RM, LM |    2020 - 2025 |  R.Face  ", 85 , 88 , 24 ,  €73.5M €100K , L , M / L , 4   , 3   , €143.2M ,/player/222492/leroy-sane," 183cm | 6'0"" ", Unique (80kg | 176lbs) ,Bayern München,Germany
 Sergej Milinkovic-Savic ," CM, CDM, CAM |    2015 - 2024 |  R.Face  ", 85 , 88 , 25 ,  €71M €94K , R , H / M , 4   , 5   , €146.4M ,/player/223848/sergej-milinkovic-savic," 191cm | 6'3"" ", High & Average (76kg | 168lbs) ,Lazio,Serbia
 Marcus Rashford ," LM, ST, RM |    2014 - 2023 |  R.Face  ", 85 , 91 , 22 ,  €86.5M €150K , R , H / M , 5   , 3   , €0 ,/player/231677/marcus-rashford," 186cm | 6'1"" ", Unique (70kg | 154lbs) ,Manchester United,England
 Matthijs de Ligt , CB |    2019 - 2024 |  R.Face  , 85 , 92 , 20 ,  €99M €80K , R , M / H , 2   , 4   , €0 ,/player/235243/matthijs-de-ligt," 189cm | 6'2"" ", High & Stocky (89kg | 196lbs) ,Piemonte Calcio,Holland
 Rúben Santos Gato Alves Dias , CB |    2020 - 2027 |  R.Face  , 85 , 89 , 23 ,  €69.5M €145K , R , M / H , 2   , 4   , €0 ,/player/239818/ruben-santos-gato-alves-dias," 187cm | 6'1"" ", High & Average (82kg | 181lbs) ,Manchester City,Portugal
 Zlatan Ibrahimovic , ST |    2020 - 2022 |  R.Face  , 84 , 84 , 38 ,  €14.5M €53K , R , M / L , 5   , 4   , €0 ,/player/41236/zlatan-ibrahimovic," 195cm | 6'4"" ", Unique (95kg | 209lbs) ,Milan,Sweden
 Fernandinho ," CDM, CB |    2013 - 2022 |  R.Face  ", 84 , 84 , 35 ,  €12M €110K , R , M / H , 3   , 4   , €0 ,/player/135507/fernandinho," 179cm | 5'10"" ", Lean (67kg | 148lbs) ,Manchester City,Brazil
 Jesús Navas ," RB, RM |    2017 - 2024 |  R.Face  ", 84 , 84 , 34 ,  €15.5M €42.5K , R , H / M , 4   , 2   , €36.7M ,/player/146536/jesus-navas," 172cm | 5'7"" ", Short & Lean (60kg | 132lbs) ,Sevilla FC,Spain
 Yann Sommer , GK |    2014 - 2023 |  R.Face  , 84 , 84 , 31 ,  €22.5M €46.5K , R , M / M , 1   , 4   , €0 ,/player/177683/yann-sommer," 183cm | 6'0"" ", Average (79kg | 174lbs) ,Borussia M'gladbach,Switzerland
 Edinson Cavani , ST |    2020 - 2022 |  R.Face  , 84 , 84 , 33 ,  €27M €175K , R , H / H , 3   , 4   , €0 ,/player/179813/edinson-cavani," 185cm | 6'0"" ", Unique (77kg | 170lbs) ,Manchester United,Uruguay
 Georginio Wijnaldum ," CM, CDM |    2016 - 2021 |  R.Face  ", 84 , 84 , 29 ,  €41M €135K , R , H / H , 4   , 4   , €0 ,/player/181291/georginio-wijnaldum," 175cm | 5'8"" ", Unique (69kg | 152lbs) ,Liverpool,Holland
 Jérôme Boateng , CB |    2011 - 2021 |  R.Face  , 84 , 84 , 31 ,  €29M €98K , R , M / M , 2   , 4   , €0 ,/player/183907/jerome-boateng," 190cm | 6'2"" ", High & Stocky (94kg | 207lbs) ,Bayern München,Germany
 Toby Alderweireld , CB |    2015 - 2023 |  R.Face  , 84 , 84 , 31 ,  €29M €120K , R , M / M , 2   , 3   , €0 ,/player/184087/toby-alderweireld," 186cm | 6'1"" ", High & Average (81kg | 179lbs) ,Tottenham Hotspur,Belgium
 Leonardo Bonucci , CB |    2018 - 2024 |  R.Face  , 84 , 84 , 33 ,  €20M €105K , R , M / H , 2   , 4   , €0 ,/player/184344/leonardo-bonucci," 190cm | 6'2"" ", High & Average+ (85kg | 187lbs) ,Piemonte Calcio,Italy
 Ilkay Gündogan ," CM, CDM |    2016 - 2023 |  R.Face  ", 84 , 84 , 29 ,  €41M €180K , R , H / M , 4   , 4   , €0 ,/player/186942/ilkay-gundogan," 180cm | 5'10"" ", Average (80kg | 176lbs) ,Manchester City,Germany
 Marco Reus ," CAM, CF |    2012 - 2023 |  R.Face  ", 84 , 84 , 31 ,  €35M €86K , R , H / M , 4   , 4   , €0 ,/player/188350/marco-reus," 180cm | 5'10"" ", Unique (71kg | 157lbs) ,Borussia Dortmund,Germany
 Kyle Walker , RB |    2017 - 2024 |  R.Face  , 84 , 84 , 30 ,  €36.5M €155K , R , H / H , 3   , 2   , €0 ,/player/188377/kyle-walker," 183cm | 6'0"" ", Unique (83kg | 183lbs) ,Manchester City,England
 Alex Sandro ," LB, LM |    2015 - 2023 |  R.Face  ", 84 , 84 , 29 ,  €37M €110K , L , H / M , 3   , 3   , €0 ,/player/191043/alex-sandro," 180cm | 5'10"" ", Unique (80kg | 176lbs) ,Piemonte Calcio,Brazil
 Bernd Leno , GK |    2018 - 2023 |  R.Face  , 84 , 85 , 28 ,  €33.5M €96K , R , M / M , 1   , 3   , €0 ,/player/192563/bernd-leno," 190cm | 6'2"" ", High & Average (82kg | 181lbs) ,Arsenal,Germany
 Iago Aspas ," ST, RW |    2015 - 2023 |  R.Face  ", 84 , 84 , 32 ,  €34M €45.5K , L , H / H , 3   , 4   , €0 ,/player/192629/iago-aspas," 176cm | 5'9"" ", Lean (67kg | 148lbs) ,RC Celta de Vigo,Spain
 Dušan Tadic ," LW, CF, CAM |    2018 - 2024 |  R.Face  ", 84 , 84 , 31 ,  €35M €32K , L , M / M , 4   , 3   , €0 ,/player/199434/dusan-tadic," 181cm | 5'11"" ", Unique (76kg | 168lbs) ,Ajax,Serbia
 Wissam Ben Yedder , ST |    2019 - 2024 |  R.Face  , 84 , 84 , 29 ,  €42M €91K , R , H / L , 4   , 5   , €0 ,/player/199451/wissam-ben-yedder," 170cm | 5'6"" ", Unique (68kg | 150lbs) ,AS Monaco,France
